Date;Region/City;Region/City-Eng;Region_ID;Day-Confirmed;Day-Deaths;Day-Recovered;Confirmed;Deaths;Recovered
19/03/2020;Пермский край;Perm Krai;5900;10;0;0;30;0;0
19/03/2020;Новосибирская область;Novosibirsk Oblast;5400;10;0;0;20;0;0
19/03/2020;Республика Саха (Якутия);Sakha Republic (Yakutia);1400;10;0;0;10;0;0
19/03/2020;Оренбургская область;Orenburg Oblast;5600;10;0;0;10;0;0
19/03/2020;Ханты-Мансийский АО;Khanty-Mansi Autonomous Okrug;8600;10;0;0;10;0;0
19/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;10;0;0;100;0;20
19/03/2020;Республика Чувашия;Chuvash Republic;2100;10;0;0;10;0;0
19/03/2020;Саратовская область;Saratov Oblast;6400;10;0;0;10;0;0
19/03/2020;Тверская область;Tver Oblast;6900;10;0;0;30;0;0
19/03/2020;Липецкая область;Lipetsk Oblast;4800;0;0;30;30;0;30
20/03/2020;Москва;Moscow (city);7700;330;0;0;1310;0;50
20/03/2020;Республика Саха (Якутия);Sakha Republic (Yakutia);1400;60;0;0;70;0;0
20/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;40;0;0;140;0;20
20/03/2020;Самарская область;Samara Oblast;6300;40;0;0;90;0;0
20/03/2020;Кировская область;Kirov Oblast;4300;20;0;0;50;0;0
20/03/2020;Новосибирская область;Novosibirsk Oblast;5400;20;0;0;40;0;0
20/03/2020;Московская область;Moscow Oblast;5000;10;0;0;180;0;10
20/03/2020;Ульяновская область;Ulyanovsk Oblast;7300;10;0;0;10;0;0
20/03/2020;Тюменская область;Tyumen Oblast;7200;10;0;0;30;0;10
20/03/2020;Калининградская область;Kaliningrad Oblast;3900;0;0;10;50;0;10
21/03/2020;Московская область;Moscow Oblast;5000;170;0;0;350;0;10
21/03/2020;Москва;Moscow (city);7700;60;0;30;1370;0;80
21/03/2020;Республика Татарстан;Republic of Tatarstan;1600;50;0;0;60;0;0
21/03/2020;Нижегородская область;Nizhny Novgorod Oblast;5200;40;0;0;70;0;10
21/03/2020;Свердловская область;Sverdlovsk Oblast;6600;30;0;0;90;0;0
21/03/2020;Тульская область;Tula Oblast;7100;20;0;0;50;0;0
21/03/2020;Калининградская область;Kaliningrad Oblast;3900;20;0;0;70;0;10
21/03/2020;Санкт-Петербург;Saint Petersburg (city);7800;20;0;0;160;0;20
21/03/2020;Кабардино-Балкарская Республика;Kabardino-Balkar Republic;700;20;0;0;20;0;0
21/03/2020;Краснодарский край;Krasnodar Krai;2300;20;0;0;50;0;0
21/03/2020;Рязанская область;Ryazan Oblast;6200;10;0;0;20;0;0
21/03/2020;Ставропольский край;Smolensk Oblast;2600;10;0;0;10;0;0
21/03/2020;Курганская область;Kurgan Oblast;4500;10;0;0;10;0;0
21/03/2020;Челябинская область;Chelyabinsk Oblast;7400;10;0;0;10;0;0
